,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,FUEL_TYPE
3321,https://www.sgcarmart.com/used_cars/info.php?ID=1289996&DL=1094\,SSANGYONG TIVOLI XLV 1.6G 6AT 2WD ESP E4,36800.0,14000.0,08-Sep-2016,110928.0,2016,742.0,Auto,20200.0,15/09/2024,18203.0,18203.0,51506.0,396.0,1597.0,1420.0,1.0,SUV,Petrol
3322,https://www.sgcarmart.com/used_cars/info.php?ID=1286028&DL=1000\,,252800.0,37470.0,06-May-2019,80000.0,2019,2382.0,Auto,126629.0,15/09/2024,103351.0,158032.0,34509.0,1584.0,2996.0,1955.0,2.0,Luxury Sedan,
3323,https://www.sgcarmart.com/used_cars/info.php?ID=1335278&DL=3283\,TOYOTA CAMRY HYBRID 2.5G CVT,98800.0,18310.0,30-Jan-2019,77000.0,Luxury,1784.0,2018,41052.0,15/09/2024,,,33989.0,1584.0,2487.0,1570.0,3.0,,Petrol-Electric
3324,https://www.sgcarmart.com/used_cars/info.php?ID=1335460&DL=1359\,VOLKSWAGEN GOLF A7 1.4 TSI AT 5G13GZ SR HID,11800.0,14720.0,18-Mar-2015,82000.0,2014,624.0,Auto,7497.0,15/09/2024,22740.0,8836.0,61410.0,186.0,1395.0,1249.0,1.0,Hatchback,Petrol
3325,https://www.sgcarmart.com/used_cars/info.php?ID=1316106&DL=2976\,TOYOTA ALPHARD 2.5 CVT ELEGANCE S/R,105800.0,29110.0,22-May-2017,116000.0,2017,1792.0,Auto,46926.0,15/09/2024,45431.0,55604.0,50621.0,792.0,2494.0,2075.0,4.0,MPV,Petrol
3326,https://www.sgcarmart.com/used_cars/info.php?ID=1315660&DL=2011\,PORSCHE 718 SPYDER (982) MT SES,440800.0,63290.0,03-Apr-2020,9900.0,2019,3942.0,Manual,152683.0,15/09/2024,115174.0,179314.0,32801.0,1980.0,3995.0,1495.0,1.0,Sports Car,Petrol
3327,https://www.sgcarmart.com/used_cars/info.php?ID=1290502&DL=1054\,MITSUBISHI ASX 2.0 CVT,55300.0,13650.0,21-Feb-2018,88933.0,2017,1210.0,Auto,25636.0,15/09/2024,16910.0,16910.0,42661.0,1188.0,1998.0,1365.0,1.0,SUV,Petrol
3328,https://www.sgcarmart.com/used_cars/info.php?ID=1314549&DL=4300\,VOLKSWAGEN GOLF 1.4 TSI AT 5G13HZ,41000.0,15920.0,14-Dec-2016,121000.0,2016,624.0,Auto,17114.0,15/09/2024,20408.0,10572.0,48000.0,792.0,1395.0,1249.0,2.0,Hatchback,Petrol
3329,https://www.sgcarmart.com/used_cars/info.php?ID=1334232&DL=1213\,HYUNDAI I30 PDE 1.4 WAGON T-GDI DCT,62800.0,15500.0,25-Jun-2018,45589.0,2018,600.0,Auto,19885.0,15/09/2024,18528.0,8528.0,37989.0,1188.0,1353.0,1457.0,1.0,Hatchback,Petrol
3330,https://www.sgcarmart.com/used_cars/info.php?ID=1215285&DL=3142\,HONDA FIT 1.3 A,32800.0,12550.0,28-Apr-2007,,2007,885.0,Auto,13129.0,15/09/2024,11556.0,12712.0,50230.0,792.0,1339.0,1000.0,,Hatchback,Petrol
