Unnamed: 0,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,CAR_AGE,REG_MONTH
3352,https://www.sgcarmart.com/used_cars/info.php?ID=1331132&DL=3597,Mercedes-Benz C-Class C180 Avantgarde,87000.0,20520.0,3-Nov-17,117953.0,2017,740.0,Auto,44826.0,3/9/2024,37239.0,44135.0,51000.0,1125,1595.0,1425.0,2,Luxury Sedan,7,11
3353,https://www.sgcarmart.com/used_cars/info.php?ID=1326439&DL=1000&utm_content=SLeligible,Audi A4 2.0A TFSI S-tronic,93000.0,19000.0,19-Jul-18,91000.0,2018,1194.0,Auto,37822.0,3/9/2024,33419.0,38787.0,32551.0,1100,1984.0,1480.0,3,Luxury Sedan,6,7
3354,https://www.sgcarmart.com/used_cars/info.php?ID=1323304&DL=3906&utm_content=SLeligible,Mercedes-Benz E-Class E200 Avantgarde,160800.0,23560.0,18-Dec-19,85000.0,2019,1202.0,Auto,75208.0,3/9/2024,55707.0,72273.0,39700.0,1919,1991.0,1640.0,1,Luxury Sedan,5,12
3355,https://www.sgcarmart.com/used_cars/info.php?ID=1309223&DL=1015&utm_content=SLeligible,Lexus ES250 Executive Sunroof,90888.0,20620.0,18-Jan-18,140613.0,2017,1792.0,Auto,43012.0,3/9/2024,36195.0,42673.0,45289.0,1219,2494.0,1615.0,2,Luxury Sedan,6,1
3356,https://www.sgcarmart.com/used_cars/info.php?ID=1306264&DL=3759&utm_content=SLeligible,Toyota Corolla Altis 1.6A Elegance,85800.0,15070.0,30-Aug-19,68000.0,2019,742.0,Auto,30787.0,3/9/2024,20881.0,21234.0,31917.0,1496,1598.0,1230.0,2,Mid-Sized Sedan,5,8
3357,https://www.sgcarmart.com/used_cars/info.php?ID=1318028&DL=3791&utm_content=SLeligible,Mitsubishi Lancer EX 1.6A,23800.0,13380.0,5-Jan-16,98000.0,2015,738.0,Auto,13988.0,3/9/2024,11820.0,11820.0,56001.0,486,1590.0,1289.0,3,Mid-Sized Sedan,8,1
3358,https://www.sgcarmart.com/used_cars/info.php?ID=1328887&DL=1368,Honda Shuttle 1.5A G,46800.0,13570.0,11-Nov-17,88256.0,2017,682.0,Auto,18311.0,3/9/2024,17140.0,7140.0,42902.0,1162,1496.0,1130.0,1,Stationwagon,7,11
3360,https://www.sgcarmart.com/used_cars/info.php?ID=1316152&DL=4211&utm_content=SLeligible,Nissan X-Trail 2.0A 7-Seater Sunroof,31888.0,13290.0,11-Mar-16,109218.0,2016,1210.0,Auto,21255.0,3/9/2024,22509.0,23513.0,55089.0,552,1997.0,1626.0,4,SUV,8,3
3361,https://www.sgcarmart.com/used_cars/info.php?ID=1331761&DL=3840&utm_content=SLeligible,Audi R8 4.2A FSI Quattro R-tronic,108888.0,28760.0,17-Jun-08,99999.0,2008,6309.0,Auto,14352.0,3/9/2024,140563.0,140563.0,37906.0,1368,4163.0,1565.0,5,Sports Car,16,6
3362,https://www.sgcarmart.com/used_cars/info.php?ID=1329389&DL=4327,Volkswagen Passat 1.8A TFSI Highline Sunroof,57800.0,13810.0,27-Sep-17,127000.0,2016,976.0,Auto,35210.0,3/9/2024,31421.0,30990.0,49189.0,1098,1798.0,1480.0,3,Luxury Sedan,7,9
