,LISTING_URL,BRAND,PRICE,DEPRE_YEARLY,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_YEARLY,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
4943,https://www.sgcarmart.com/used_cars/info.php?ID=1332761&DL=2900,Mercedes-Benz CLA-Class CLA200 Progressive,169800,21110,16-Sep-21,36000,2021,586,Auto,76002,3/9/2024,36151,42612,62600,2557,1332,1420,2,Luxury Sedan
4944,https://www.sgcarmart.com/used_cars/info.php?ID=1330952&DL=1000,Nissan Note 1.2A DIG-S,16900,11630,30-Nov-15,,2015,508,Auto,10081,3/9/2024,13923,5000,59200,431,1198,1081,4,Hatchback
4945,https://www.sgcarmart.com/used_cars/info.php?ID=1312289&DL=4561&utm_content=SLeligible,BMW 5 Series 523i Highline,83800,12770,28-Mar-11,138000,2011,2514,Auto,31313,3/9/2024,40857,40857,47701,2374,2497,1650,3,Luxury Sedan
4946,https://www.sgcarmart.com/used_cars/info.php?ID=1332364&DL=2021&utm_content=SLeligible,Mercedes-Benz A-Class A45 AMG 4MATIC,169700,18690,26-Nov-13,29000,2013,1322,Auto,97931,3/9/2024,49584,61418,122414,3292,1991,1555,2,Sports Car
4947,https://www.sgcarmart.com/used_cars/info.php?ID=1331747&DL=3100&utm_content=SLeligible,Mercedes-Benz C-Class C180 CGI,63800,10900,12-Jul-10,158000,2010,1461,Auto,19653,3/9/2024,38917,38917,33568,1833,1796,1495,5,Luxury Sedan
4948,https://www.sgcarmart.com/used_cars/info.php?ID=1330563&DL=3414&utm_content=SLeligible,Lexus IS250,62800,11440,15-Mar-10,,2009,2700,Auto,20903,3/9/2024,38495,38495,38071,1980,2500,1625,4,Luxury Sedan
4949,https://www.sgcarmart.com/used_cars/info.php?ID=1330377&DL=2291,Audi Q5 2.0A TFSI Quattro S-tronic Sport Panoramic Roof,102800,25000,25-Aug-17,95000,2017,1194,Auto,50157,3/9/2024,46417,56984,53711,761,1984,1795,1,SUV
4950,https://www.sgcarmart.com/used_cars/info.php?ID=1325266&DL=1000,Mazda 5 2.0A SP Sunroof,22500,11910,16-Oct-15,,2015,1210,Auto,17061,3/9/2024,18429,18429,62101,397,1998,1535,2,MPV
4951,https://www.sgcarmart.com/used_cars/info.php?ID=1329873&DL=1340,Toyota Harrier Turbo 2.0A G Panoramic Roof,96800,19830,31-Jul-18,96475,2018,1210,Auto,37828,3/9/2024,33308,38632,32551,1102,1998,1695,1,SUV
4952,https://www.sgcarmart.com/used_cars/info.php?ID=1309479&DL=1368&utm_content=SLeligible,Hyundai Avante 1.6A GLS,80800,13360,26-Mar-20,57893,2019,738,Auto,27174,3/9/2024,13100,13100,31210,2007,1591,1345,2,Mid-Sized Sedan
